Regions_NR;Region_navn_postDK;KOMMUNE_NR;Kommune_navn_postDK;POSTNR;BYNAVN;Type of Area;Type of Area (specific);kommune_CVR;mapDK_kommune;Region_nr;Region;Landsdel_nr;Landsdel;Kommune 2007 og frem;Kommunenavn;Kommune_sammenlægning
1081;Region Nordjylland;851;Aalborg Kommune;9260;Gistrup;Major provincial city (+100,000 inhabitants);Major provincial city (+100,000 inhabitants);AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9270;Klarup;Major provincial city (+100,000 inhabitants);Major provincial city (+100,000 inhabitants);AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9280;Storvorde;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9293;Kongerslev;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9310;Vodskov;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9320;Hjallerup;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9362;Gandrup;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9370;Hals;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9380;Vestbjerg;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9381;Sulsted;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9382;Tylstrup;Rural;Rural (less than 3,000 inhabitants;AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
1081;Region Nordjylland;851;Aalborg Kommune;9400;Nørresundby;Major provincial city (+100,000 inhabitants);Major provincial city (+100,000 inhabitants);AALBORG;aalborg;1081;Nordjylland;11;Nordjylland;851;Aalborg;817 Hals, 831 Nibe, 837 Sejlflod, 851 Aalborg
